who_term,best_abpath_match,score,bucket,source,note
BST::Soft_Tissue::Adipocytic::Spindle_Cell_Lipoma_and_Pleomorphic_Lipoma,BST::Soft_Tissue::Adipocytic::Benign::Lipoma_Spindle_Cell_Pleomorphic,77,rejected,who,
BST::Soft_Tissue::ChondroOsseous::Extraskeletal_Osteosarcoma,BST::Soft_Tissue::Uncertain_Diff::Malignant::Extraskeletal_Myxoid_Chondrosarcoma,66,rejected,who,
BST::Soft_Tissue::ChondroOsseous::Soft_Tissue_Chondroma,BST::Bone::Chondrogenic::Benign::Enchondroma,61,rejected,who,
BST::Soft_Tissue::Fibroblastic::Acral_Fibromyxoma,BST::Soft_Tissue::Fibroblastic::Benign::Acral_Fibromyxoma,92,accepted,who,
BST::Soft_Tissue::Fibroblastic::Adult_Fibrosarcoma,BST::Soft_Tissue::Fibroblastic::Malignant::Adult_Fibrosarcoma,90,accepted,who,
BST::Soft_Tissue::Fibroblastic::Angiofibroma_of_Soft_Tissue,BST::Soft_Tissue::Fibroblastic::Benign::Fibromatosis_Colli,77,rejected,who,
BST::Soft_Tissue::Fibroblastic::Angiomyofibroblastoma,BST::Soft_Tissue::Fibroblastic::Benign::Angiomyofibroblastoma,93,accepted,who,
BST::Soft_Tissue::Fibroblastic::Calcifying_Aponeurotic_Fibroma,BST::Soft_Tissue::Fibroblastic::Benign::Calcifying_Aponeurotic_Fibroma,94,accepted,who,
BST::Soft_Tissue::Fibroblastic::Cellular_Angiofibroma,BST::Soft_Tissue::Fibroblastic::Benign::Cellular_Angiofibroma,93,accepted,who,
BST::Soft_Tissue::Fibroblastic::Desmoplastic_Fibroblastoma,BST::Soft_Tissue::Fibroblastic::Benign::Desmoplastic_Fibroblastoma,94,accepted,who,
BST::Soft_Tissue::Fibroblastic::EWSR1_SMAD3_Positive_Fibroblastic_Tumor_emerging_,BST::Soft_Tissue::Fibroblastic::Intermediate::EWSR1_SMAD3_Fibroblastic_Tumor,79,rejected,who,
BST::Soft_Tissue::Fibroblastic::Elastofibroma,BST::Soft_Tissue::Fibroblastic::Benign::Elastofibroma,92,accepted,who,
BST::Soft_Tissue::Fibroblastic::Fibrohistiocytic::Deep_Fibrous_Histiocytoma,BST::Soft_Tissue::Fibrohistiocytic::Benign::Deep_Benign_Fibrous_Histiocytoma,81,review,who,
BST::Soft_Tissue::Fibroblastic::Fibrohistiocytic::Giant_Cell_Tumor_of_Soft_Tissue,BST::Soft_Tissue::Fibrohistiocytic::Intermediate::Giant_Cell_Tumor_Of_Soft_Tissue,83,review,who,
BST::Soft_Tissue::Fibroblastic::Fibrohistiocytic::Plexiform_Fibrohistiocytic_Tumor,BST::Soft_Tissue::Fibrohistiocytic::Benign::Plexiform_Fibrohistiocytic_Tumor,86,review,who,
BST::Soft_Tissue::Fibroblastic::Fibroma_of_Tendon_Sheath,BST::Soft_Tissue::Fibroblastic::Benign::Fibroma_Of_Tendon_Sheath,93,accepted,who,
BST::Soft_Tissue::Fibroblastic::Fibromatosis_Colli,BST::Soft_Tissue::Fibroblastic::Benign::Fibromatosis_Colli,93,accepted,who,
BST::Soft_Tissue::Fibroblastic::Fibrous_Hamartoma_of_Infancy,BST::Soft_Tissue::Congenital_Structural::Hamartoma::Fibrous_Hamartoma_Of_Infancy,76,rejected,who,
BST::Soft_Tissue::Fibroblastic::Giant_Cell_Fibroblastoma,BST::Soft_Tissue::Fibroblastic::Intermediate::Giant_Cell_Fibroblastoma,89,review,who,
BST::Soft_Tissue::Fibroblastic::Inclusion_Body_Fibromatosis,BST::Soft_Tissue::Fibroblastic::Benign::Inclusion_Body_Fibromatosis,94,accepted,who,
BST::Soft_Tissue::Fibroblastic::Infantile_Fibrosarcoma,BST::Soft_Tissue::Fibroblastic::Intermediate::Infantile_Fibrosarcoma,89,review,who,
BST::Soft_Tissue::Fibroblastic::Ischemic_Fasciitis,BST::Soft_Tissue::Fibroblastic::Benign::Nodular_Fasciitis,80,review,who,
BST::Soft_Tissue::Fibroblastic::Juvenile_Hyaline_Fibromatosis,BST::Soft_Tissue::Fibroblastic::Benign::Juvenile_Hyaline_Fibromatosis,94,accepted,who,
BST::Soft_Tissue::Fibroblastic::Lipofibromatosis,BST::Soft_Tissue::Fibroblastic::Intermediate::Lipofibromatosis,87,review,who,
BST::Soft_Tissue::Fibroblastic::Low_Grade_Fibromyxoid_Sarcoma,BST::Soft_Tissue::Fibroblastic::Malignant::Low_Grade_Fibromyxoid_Sarcoma,92,accepted,who,
BST::Soft_Tissue::Fibroblastic::Low_Grade_Myofibroblastic_Sarcoma,BST::Soft_Tissue::Fibroblastic::Intermediate::Low_Grade_Myofibroblastic_Sarcoma,90,accepted,who,
BST::Soft_Tissue::Fibroblastic::Myofibroblastoma,BST::Soft_Tissue::Fibroblastic::Benign::Myofibroblastoma,92,accepted,who,
BST::Soft_Tissue::Fibroblastic::Myositis_Ossificans_and_Bone_Pseudotumor_of_Digits,BST::Soft_Tissue::Fibroblastic::Benign::Calcifying_Aponeurotic_Fibroma,61,rejected,who,
BST::Soft_Tissue::Fibroblastic::Myxoinflammatory_Fibroblastic_Sarcoma,BST::Soft_Tissue::Fibroblastic::Intermediate::Myxoinflammatory_Fibroblastic_Sarcoma,91,accepted,who,
BST::Soft_Tissue::Fibroblastic::Nodular_Fasciitis,BST::Soft_Tissue::Fibroblastic::Benign::Nodular_Fasciitis,92,accepted,who,
BST::Soft_Tissue::Fibroblastic::Nuchal_Type_Fibroma,BST::Soft_Tissue::Fibroblastic::Benign::Nuchal_Type_Fibroma,93,accepted,who,
BST::Soft_Tissue::Fibroblastic::Palmar_Fibromatosis_and_Plantar_Fibromatosis,BST::Soft_Tissue::Fibroblastic::Intermediate::Palmar_Plantar_Fibromatosis,79,rejected,who,
BST::Soft_Tissue::Fibroblastic::Proliferative_Fasciitis_and_Proliferative_Myositis,BST::Soft_Tissue::Fibroblastic::Intermediate::Desmoid_Type_Fibromatosis,65,rejected,who,
BST::Soft_Tissue::Fibroblastic::Sclerosing_Epithelioid_Fibrosarcoma,BST::Soft_Tissue::Fibroblastic::Malignant::Sclerosing_Epithelioid_Fibrosarcoma,92,accepted,who,
BST::Soft_Tissue::Fibroblastic::Superficial_CD34_Positive_Fibroblastic_Tumor,BST::Soft_Tissue::Fibroblastic::Intermediate::Superficial_CD34_Positive_Fibroblastic_Tumor,92,accepted,who,
BST::Soft_Tissue::Nerve_Sheath::Dermal_Nerve_Sheath_Myxoma,BST::Soft_Tissue::Nerve_Sheath::Benign::Dermal_Nerve_Sheath_Myxoma,94,accepted,who,
BST::Soft_Tissue::Nerve_Sheath::Ectopic_Meningioma_and_Meningothelial_Hamartoma,BST::Soft_Tissue::Congenital_Structural::Hamartoma::Ectopic_Meningioma_And_Meningothelial_Hamartoma,83,review,who,
