root,source,tag,record_id,title,path
GI,abpath,BST::Soft_Tissue::Fibrohistiocytic::Intermediate::Tenosynovial_Giant_Cell_Tumor_Diffuse,Tenosynovial_Giant_Cell_Tumor_Diffuse,Tenosynovial_Giant_Cell_Tumor_Diffuse,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Fibrohistiocytic::Intermediate::Giant_Cell_Tumor_Of_Soft_Tissue,Giant_Cell_Tumor_Of_Soft_Tissue,Giant_Cell_Tumor_Of_Soft_Tissue,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Fibrohistiocytic::Intermediate::Angiomatoid_Fibrous_Histiocytoma,Angiomatoid_Fibrous_Histiocytoma,Angiomatoid_Fibrous_Histiocytoma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Fibrohistiocytic::Malignant::Malignant_Tenosynovial_Giant_Cell_Tumor,Malignant_Tenosynovial_Giant_Cell_Tumor,Malignant_Tenosynovial_Giant_Cell_Tumor,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Hemangioma_Synovial,Hemangioma_Synovial,Hemangioma_Synovial,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Hemangioma_Intramuscular,Hemangioma_Intramuscular,Hemangioma_Intramuscular,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Hemangioma_Venous,Hemangioma_Venous,Hemangioma_Venous,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Hemangioma_Arteriovenous,Hemangioma_Arteriovenous,Hemangioma_Arteriovenous,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Hemangioma_Epithelioid,Hemangioma_Epithelioid,Hemangioma_Epithelioid,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Lobular_Capillary_Hemangioma,Lobular_Capillary_Hemangioma,Lobular_Capillary_Hemangioma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Congenital_Hemangioma,Congenital_Hemangioma,Congenital_Hemangioma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Infantile_Hemangioma,Infantile_Hemangioma,Infantile_Hemangioma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Cavernous_Hemangioma,Cavernous_Hemangioma,Cavernous_Hemangioma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Sinusoidal_Hemangioma,Sinusoidal_Hemangioma,Sinusoidal_Hemangioma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Microvenular_Hemangioma,Microvenular_Hemangioma,Microvenular_Hemangioma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Hobnail_Hemangioma,Hobnail_Hemangioma,Hobnail_Hemangioma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Glomeruloid_Hemangioma,Glomeruloid_Hemangioma,Glomeruloid_Hemangioma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Spindle_Cell_Hemangioma,Spindle_Cell_Hemangioma,Spindle_Cell_Hemangioma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
GI,abpath,BST::Soft_Tissue::Vascular::Benign::Anastomosing_Hemangioma,Anastomosing_Hemangioma,Anastomosing_Hemangioma,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Adrenal::Malignant::Metastasis_To_Adrenal_Lung,Metastasis_To_Adrenal_Lung,Metastasis_To_Adrenal_Lung,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Fluids::Malignant::Metastatic::Adenocarcinoma_Lung,Adenocarcinoma_Lung,Adenocarcinoma_Lung,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
Lung,abpath,Cyto_Fluids::Malignant::Metastatic::Small_Cell_Carcinoma_Lung,Small_Cell_Carcinoma_Lung,Small_Cell_Carcinoma_Lung,data/curriculum_map_readiness_v0/abpath_source_tags.jsonl
