source,tag,count
abpath,BST::Soft_Tissue::Uncertain_Diff::Malignant::Synovial_Sarcoma_Monophasic,1
abpath,BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Pleomorphic_Sarcoma,1
abpath,BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Round_Cell_Sarcoma_Ewing,1
abpath,BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Sarcoma_BCOR_Altered,1
abpath,BST::Soft_Tissue::Uncertain_Diff::Malignant::Undifferentiated_Sarcoma_CIC_Rearranged,1
abpath,BST::Soft_Tissue::Vascular::Benign::Acquired_Tufted_Angioma,1
abpath,BST::Soft_Tissue::Vascular::Benign::Anastomosing_Hemangioma,1
abpath,BST::Soft_Tissue::Vascular::Benign::Bacillary_Angiomatosis,1
abpath,BST::Soft_Tissue::Vascular::Benign::Cavernous_Hemangioma,1
abpath,BST::Soft_Tissue::Vascular::Benign::Congenital_Hemangioma,1
abpath,BST::Soft_Tissue::Vascular::Benign::Glomeruloid_Hemangioma,1
abpath,BST::Soft_Tissue::Vascular::Benign::Hemangioma_Arteriovenous,1
abpath,BST::Soft_Tissue::Vascular::Benign::Hemangioma_Epithelioid,1
abpath,BST::Soft_Tissue::Vascular::Benign::Hemangioma_Intramuscular,1
abpath,BST::Soft_Tissue::Vascular::Benign::Hemangioma_Synovial,1
abpath,BST::Soft_Tissue::Vascular::Benign::Hemangioma_Venous,1
abpath,BST::Soft_Tissue::Vascular::Benign::Hobnail_Hemangioma,1
abpath,BST::Soft_Tissue::Vascular::Benign::Infantile_Hemangioma,1
abpath,BST::Soft_Tissue::Vascular::Benign::Lobular_Capillary_Hemangioma,1
abpath,BST::Soft_Tissue::Vascular::Benign::Lymphangioma,1
abpath,BST::Soft_Tissue::Vascular::Benign::Microvenular_Hemangioma,1
abpath,BST::Soft_Tissue::Vascular::Benign::Papillary_Endothelial_Hyperplasia,1
abpath,BST::Soft_Tissue::Vascular::Benign::Sinusoidal_Hemangioma,1
abpath,BST::Soft_Tissue::Vascular::Benign::Spindle_Cell_Hemangioma,1
abpath,BST::Soft_Tissue::Vascular::Intermediate::Composite_Hemangioendothelioma,1
abpath,BST::Soft_Tissue::Vascular::Intermediate::Kaposi_Sarcoma,1
abpath,BST::Soft_Tissue::Vascular::Intermediate::Kaposiform_Hemangioendothelioma,1
abpath,BST::Soft_Tissue::Vascular::Intermediate::Papillary_Intralymphatic_Angioendothelioma,1
