record_id,source,original_tag,rejection_reason,title,input_path
textbooks:tbchunk:derm_elston:derm_elston_p0050_fig001_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0050_fig002_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0050_fig003_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0053_fig001_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0053_fig002_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0053_fig003_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0053_fig004_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0054_fig001_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0054_fig002_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
textbooks:tbchunk:derm_elston:derm_elston_p0054_fig003_caption,textbooks,Skin::Neoplastic::Epithelial::Benign::Seborrheic_Keratosis,textbook_lecture_non_abpath_or_generated_tag,Derm Elston,data/curriculum_map_v0_2/textbook_primary_tagged_chunks_v1.jsonl
