tag,root,record_count
BST::Bone::Chondrogenic::Benign::Synovial_Chondromatosis,BST,156
Skin::Neoplastic::Soft_Tissue::Vascular::Kaposi_Sarcoma,Skin,155
BST::Bone::Fibrogenic::Benign::Non_Ossifying_Fibroma,BST,154
Cyto_GYN::Benign_Reactive::Non_Neoplastic::Radiation_Changes,Cyto_GYN,154
GI::Hematolymphoid::B_Cell_Lymphoma::Follicular_Lymphoma,GI,154
GI::Small_Intestine::Inflammatory::Malabsorption::Small_Intestinal_Celiac_Disease,GI,154
Skin::Inflammatory::Blistering::Paraneoplastic_Pemphigus,Skin,154
Skin::Inflammatory::Granulomatous::Granuloma_Annulare,Skin,154
Skin::Neoplastic::Melanocytic::Malignant::Melanoma_Desmoplastic,Skin,154
BST::Soft_Tissue::Fibroblastic::Intermediate::Desmoid_Type_Fibromatosis,BST,153
BST::Soft_Tissue::Skeletal_Muscle::Malignant::Alveolar_Rhabdomyosarcoma,BST,153
Cyto_Heme::Malignant::B_Cell_Small::Mantle_Cell_Lymphoma_Blastoid,Cyto_Heme,153
Endo::Thyroid::Neoplastic::Epithelial_C_Cell::Malignant::Medullary_Thyroid_Carcinoma,Endo,153
Skin::Depositional_Metabolic::Amyloidosis::Amyloidosis_Overview,Skin,153
Skin::Inflammatory::Psoriasiform::Pityriasis_Rubra_Pilaris,Skin,153
Cyto_Kidney::Malignant::Renal_Cell_Carcinoma::Clear_Cell_RCC,Cyto_Kidney,152
HN::Soft_Tissue::Skeletal_Muscle::Rhabdomyosarcoma,HN,152
Skin::Infectious::Fungal::Pityriasis_Tinea_Versicolor,Skin,152
Cyto_Neuro::Specimen_Type::Squash_Prep_Smear,Cyto_Neuro,151
Skin::Neoplastic::Melanocytic::Malignant::Melanoma::Lentigo_Maligna,Skin,151
BST::Bone::Chondrogenic::Malignant::Chondrosarcoma_Grade_2_3,BST,150
HN::Ear_Temporal_Bone::External_Auditory_Canal::Squamous_Cell_Carcinoma,HN,149
HN::Larynx_Hypopharynx_Trachea::Inflammatory::Contact_Ulcer,HN,149
BST::Soft_Tissue::Adipocytic::Intermediate::Atypical_Lipomatous_Tumor_Well_Differentiated_Liposarcoma,BST,147
Cyto_Pancreatobiliary::Neoplasm_Risk::Low_Grade::Pancreatic_IPMN_Low_Grade,Cyto_Pancreatobiliary,147
Skin::Inflammatory::Psoriasiform::Psoriasis_Pustular,Skin,147
Breast::Neoplastic::Epithelial::Malignant::Invasive_Lobular_Carcinoma,Breast,146
Cyto_Salivary::Category::Non_Neoplastic,Cyto_Salivary,146
GYN::Cervix::Congenital_Structural::Heterotopia::Endometriosis,GYN::Cervix,146
Skin::Depositional_Metabolic::Silicone_Reaction,Skin,145
Endo::Parathyroid::Neoplastic::Epithelial::Malignant::Parathyroid_Carcinoma,Endo,144
Cyto_Salivary::Pattern::Cystic_Lesion,Cyto_Salivary,143
Skin::Neoplastic::Soft_Tissue::Muscular::Cutaneous_Leiomyoma_Pilar,Skin,143
GU::Kidney::Renal_cell::Clear_Cell_RCC,GU::Kidney,142
HN::Ear_Temporal_Bone::Inflammatory::Infection,HN,142
Cyto_Urinary::Category::High_Grade_Urothelial_Carcinoma_HGUC,Cyto_Urinary,141
GU::Prostate::Glandular_neoplasms::Intraductal_Carcinoma_of_the_Prostate,GU::Prostate,141
HN::Neuroendocrine_Paraganglioma::Paraganglioma::Head_And_Neck_Paraganglioma,HN,141
Breast::Neoplastic::Epithelial::Malignant::Mucinous_Carcinoma,Breast,140
Breast::Normal_Histology::Pregnancy_Related_Change,Breast,140
HN::Heme::Hodgkin::Hodgkin_Lymphoma,HN,140
BST::Bone::Reactive::Joint::CPPD_Pseudogout,BST,139
Breast::Neoplastic::Epithelial::Precursor::Flat_Epithelial_Atypia,Breast,139
GI::Stomach::Inflammatory::Gastritis::Gastric_Gastritis_Overview_NOS,GI,139
GYN::Cervix::Neoplastic::Epithelial::Malignant::Squamous_Cell_Carcinoma,GYN::Cervix,139
Cyto_Thyroid::Category::Atypia_Undetermined_Significance_AUS_FLUS,Cyto_Thyroid,137
Skin::Neoplastic::Hematolymphoid::Primary_Cutaneous_Marginal_Zone_Lymphoma,Skin,137
BST::Soft_Tissue::Vascular::Malignant::Angiosarcoma,BST,136
GU::Prostate::Benign::Atrophy,GU::Prostate,136
GU::Prostate::Glandular_neoplasms::High_Grade_Prostatic_Intraepithelial_Neoplasia,GU::Prostate,136
HN::Larynx_Hypopharynx_Trachea::Precursor::Epithelial_Dysplasia,HN,136
Skin::Neoplastic::Hematolymphoid::Lymphomatoid_Papulosis,Skin,136
BST::Soft_Tissue::Nerve_Sheath::Benign::Schwannoma_Conventional,BST,135
Skin::Inflammatory::Vasculitis::Thrombotic_Vasculopathy,Skin,135
Endo::Thyroid::Neoplastic::Epithelial::Malignant::Follicular_Thyroid_Carcinoma,Endo,134
HN::Oral_Cavity::Tumor_Uncertain_Histogenesis::Granular_Cell_Tumor,HN,134
Cyto_Fluids::Category::Negative_For_Malignancy,Cyto_Fluids,133
Cyto_Salivary::Non_Neoplastic::Amyloidosis,Cyto_Salivary,133
GU::Kidney::Renal_cell::Papillary_RCC,GU::Kidney,133
Molecular::Concept::Variants::Copy_Number_Variation,Molecular,133
Molecular::Heme::Lymphoid::B_Cell_Lymphoma,Molecular,133
Skin::Infectious::Fungal::Histoplasmosis_Cutaneous,Skin,133
Skin::Inflammatory::Spongiotic::Lichen_Simplex_Chronicus,Skin,132
Skin::Neoplastic::Soft_Tissue::Malignant::Liposarcoma,Skin,132
Cyto_GYN::Glandular::Endocervical_Adenocarcinoma_In_Situ_AIS_Usual,Cyto_GYN,131
BST::Soft_Tissue::Fibroblastic::Benign::Nodular_Fasciitis,BST,130
Cyto_Thoracic::Benign_Reactive::Epithelial::Type_II_Pneumocyte_Hyperplasia,Cyto_Thoracic,130
GYN::Fallopian_Tube::Congenital_Structural::Heterotopia::Endometriosis,GYN::Fallopian_Tube,130
GI::Biliary::Inflammatory::Obstructive::Large_Duct_Obstruction,GI,128
GI::Colon::Polyp::Serrated::Colorectal_Hyperplastic_Polyp_Overview,GI,127
Skin::Depositional_Metabolic::Calcification::Calciphylaxis,Skin,127
Skin::Normal_Histology::Melanocyte,Skin,126
Cyto_Pancreatobiliary::Neoplasm_Risk::Low_Grade::Mucinous_Cystic_Neoplasm_Low_Grade,Cyto_Pancreatobiliary,125
