video_id,title,root,package_id,high_confidence_segment_count,all_gated_segment_count,topic_count,video_url,high_confidence_topic_tags
GU_Lecture_5_Testis,GU Lecture 5 Testis,GU,gu_lecture_5_testis_v0_1,0,4,4,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_5_Testis.mp4,
GU_Lecture_6_Bladder1,GU Lecture 6 Bladder1,GU,gu_lecture_6_bladder1_v0_1,1,10,5,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_6_Bladder1.mp4,GU::Bladder::Non_Neoplastic::Cystitis_Glandularis
GU_Lecture_7_Bladder2,GU Lecture 7 Bladder2,GU,gu_lecture_7_bladder2_v0_1,3,9,4,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_7_Bladder2.mp4,GU::Bladder::Urothelial::Flat_Urothelial_Lesions | GU::Bladder::Urothelial::Papillary_Urothelial_Hyperplasia | GU::Bladder::Urothelial::Urothelial_Carcinoma_In_Situ
GU_Lecture_8_Bladder3,GU Lecture 8 Bladder3,GU,gu_lecture_8_bladder3_v0_1,2,12,6,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_8_Bladder3.mp4,GU::Bladder::Urothelial::Inverted_Urothelial_Papilloma | GU::Bladder::Urothelial::Papillary_Urothelial_Neoplasm_of_Low_Malignant_Potential
GU_Lecture_9_Bladder4,GU Lecture 9 Bladder4,GU,gu_lecture_9_bladder4_v0_1,0,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/GU_Lecture_9_Bladder4.mp4,
Gyn_Lecture_10_Ovary4,Gyn Lecture 10 Ovary4,GYN,gyn_lecture_10_ovary4_v0_1,1,5,2,https://storage.googleapis.com/pathology-hub-0/source_videos/Gyn_Lecture_10_Ovary4.mp4,GYN::Ovary::Neoplastic::Germ_Cell::Malignant::Immature_Teratoma
Gyn_Lecture_12_Uterine_Mesenchymal1,Gyn Lecture 12 Uterine Mesenchymal1,GYN,gyn_lecture_12_uterine_mesenchymal1_v0_1,0,3,2,https://storage.googleapis.com/pathology-hub-0/source_videos/Gyn_Lecture_12_Uterine_Mesenchymal1.mp4,
Gyn_Lecture_13_Uterine_Mesenchymal2,Gyn Lecture 13 Uterine Mesenchymal2,GYN,gyn_lecture_13_uterine_mesenchymal2_v0_1,2,2,1,https://storage.googleapis.com/pathology-hub-0/source_videos/Gyn_Lecture_13_Uterine_Mesenchymal2.mp4,GYN::Uterine_Corpus::Mesenchymal::Miscellaneous_Mesenchymal::Perivascular_Epithelioid_Cell_Tumor_PEComa_
Gyn_Lecture_2_Grossing2,Gyn Lecture 2 Grossing2,GYN,gyn_lecture_2_grossing2_v0_1,0,2,1,https://storage.googleapis.com/pathology-hub-0/source_videos/Gyn_Lecture_2_Grossing2.mp4,
Gyn_Lecture_3_Cervix_Glandular,Gyn Lecture 3 Cervix Glandular,GYN,gyn_lecture_3_cervix_glandular_v0_1,1,7,5,https://storage.googleapis.com/pathology-hub-0/source_videos/Gyn_Lecture_3_Cervix_Glandular.mp4,GYN::Cervix::Congenital_Structural::Remnant::Mesonephric_Remnants
Gyn_Lecture_4_Cervix_Squamous,Gyn Lecture 4 Cervix Squamous,GYN,gyn_lecture_4_cervix_squamous_v0_1,1,6,4,https://storage.googleapis.com/pathology-hub-0/source_videos/Gyn_Lecture_4_Cervix_Squamous.mp4,GYN::Cervix::Normal_Histology::Metaplasia::Immature_Squamous_Metaplasia
Gyn_Lecture_5_Endometrium1,Gyn Lecture 5 Endometrium1,GYN,gyn_lecture_5_endometrium1_v0_1,0,4,1,https://storage.googleapis.com/pathology-hub-0/source_videos/Gyn_Lecture_5_Endometrium1.mp4,
Gyn_Lecture_6_Gestational,Gyn Lecture 6 Gestational,GYN,gyn_lecture_6_gestational_v0_1,0,6,4,https://storage.googleapis.com/pathology-hub-0/source_videos/Gyn_Lecture_6_Gestational.mp4,
Gyn_Lecture_7_Ovary1,Gyn Lecture 7 Ovary1,GYN,gyn_lecture_7_ovary1_v0_1,0,9,3,https://storage.googleapis.com/pathology-hub-0/source_videos/Gyn_Lecture_7_Ovary1.mp4,
Gyn_Lecture_8_Ovary2,Gyn Lecture 8 Ovary2,GYN,gyn_lecture_8_ovary2_v0_1,0,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/Gyn_Lecture_8_Ovary2.mp4,
Gyn_Lecture_9_Ovary3,Gyn Lecture 9 Ovary3,GYN,gyn_lecture_9_ovary3_v0_1,1,5,3,https://storage.googleapis.com/pathology-hub-0/source_videos/Gyn_Lecture_9_Ovary3.mp4,GYN::Ovary::Neoplastic::Mixed::Malignant::Mucinous_Cystic_Tumor_With_Mural_Nodules
HN_Lecture_0_Grossing1,HN Lecture 0 Grossing1,HN,hn_lecture_0_grossing1_v0_1,0,3,3,https://storage.googleapis.com/pathology-hub-0/source_videos/HN_Lecture_0_Grossing1.mp4,
HN_Lecture_0_Grossing2,HN Lecture 0 Grossing2,HN,hn_lecture_0_grossing2_v0_1,0,1,1,https://storage.googleapis.com/pathology-hub-0/source_videos/HN_Lecture_0_Grossing2.mp4,
HN_Lecture_1_Salivary1,HN Lecture 1 Salivary1,HN,hn_lecture_1_salivary1_v0_1,1,3,3,https://storage.googleapis.com/pathology-hub-0/source_videos/HN_Lecture_1_Salivary1.mp4,HN::Salivary_Gland::Malignant_Tumor::Salivary_Duct_Carcinoma
HN_Lecture_2_Salivary2,HN Lecture 2 Salivary2,HN,hn_lecture_2_salivary2_v0_1,4,7,4,https://storage.googleapis.com/pathology-hub-0/source_videos/HN_Lecture_2_Salivary2.mp4,HN::Salivary_Gland::Malignant_Tumor::Adenoid_Cystic_Carcinoma | HN::Salivary_Gland::Malignant_Tumor::Mucoepidermoid_Carcinoma | HN::Salivary_Gland::Malignant_Tumor::Polymorphous_Adenocarcinoma
