slug,title,video_length,has_mp4,has_pdf,has_vtt,education_url,video_mp4_primary,slides_pdf_primary,vtt_primary,series_hint,pathology_relevant,heme_relevant
cvmanagement,The Human Side of Change Management,46 min 27 sec,True,True,True,https://arup.utah.edu/education/cvmanagement,https://arup.utah.edu/sites/default/files/Edu_Media/videos/cvManagement_cvManagement.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/cvManagement_Change%20Management%20PPT.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/cvManagement_cvManagement.vtt,,False,False
dadelahi-dxmonogamm-2024,Clinical Diagnostics in Detection of Monoclonal Gammopathies,52 min 36 sec,True,True,True,https://arup.utah.edu/education/dadelahi-dxmonogamm-2024,https://arup.utah.edu/sites/default/files/Edu_Media/videos/dadelahi-dxmonogamm-2024_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/dadelahi-dxmonogamm-2024_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/dadelahi-dxmonogamm-2024_Dadelahi_%20Monoclonal%20Gammopathies_V1.vtt,,False,True
dadelahi-flow-2025,Go With the Flow: Clinical Insights Through Flow Cytometry,1 hr 5 min 57 sec,True,True,True,https://arup.utah.edu/education/dadelahi-flow-2025,https://arup.utah.edu/sites/default/files/Edu_Media/videos/dadelahi-flow-2025_v2.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/dadelahi-flow-2025_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/dadelahi-flow-2025_SRT%20Go%20with%20the%20Flow%202025-06-02.vtt,flow,True,True
dcls-2019,Doctor of Clinical Laboratory Science (DCLS): Contributing Quality and Value in Clinical Laboratory Services Delivery,57 min 42 sec,True,True,True,https://arup.utah.edu/education/dcls-2019,https://arup.utah.edu/sites/default/files/Edu_Media/videos/dcls-2019_DCLS_4.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/dcls-2019_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/dcls-2019_dcls-2019.vtt,,True,False
debiase-dxinborn-2025,Diagnosing Inborn Errors of Plasmalogen Biosynthesis by Liquid Chromatography Tandem Mass Spectrometry,55 min 41 sec,True,True,True,https://arup.utah.edu/education/debiase-dxinborn-2025,https://arup.utah.edu/sites/default/files/Edu_Media/videos/debiase-dxinborn-2025_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/debiase-dxinborn-2025_lecture_slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/debiase-dxinborn-2025_cc_0.vtt,,False,False
deltachecks,The Delta Check in Action: Causes and Consequences of Discrepant Laboratory Results,49 min 24 sec,True,True,True,https://arup.utah.edu/education/deltachecks,https://arup.utah.edu/sites/default/files/Edu_Media/videos/deltaChecks_deltaChecks3.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/deltaChecks_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/deltaChecks_deltaChecks.vtt,,False,False
dimprove,Designing for Improvement,40 min 12 sec,True,True,True,https://arup.utah.edu/education/dimprove,https://arup.utah.edu/sites/default/files/Edu_Media/videos/dImprove_dImprove2.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/dImprove_Designing%20for%20Improvement-Branded.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/dImprove_dImprove.vtt,,False,False
doyle-g6pd-2025,Development of Pediatric G6PD Reference Intervals Through Integration of Indirect Methods and Molecular Data,55 min 16 sec,True,True,True,https://arup.utah.edu/education/doyle-g6pd-2025,https://arup.utah.edu/sites/default/files/Edu_Media/videos/doyle-g6pd-2025_v1.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/doyle-g6pd-2025_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/doyle-g6pd-2025_cc_0.vtt,,True,True
doyle-intervals-2024,Estimating Reference Intervals From Routine Laboratory Data Using Indirect Reference Interval Methods,54 min 4 sec,True,True,True,https://arup.utah.edu/education/doyle-intervals-2024,https://arup.utah.edu/sites/default/files/Edu_Media/videos/doyle-intervals-2024_v2.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/doyle-intervals-2024_lecture-slides.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/doyle-intervals-2024_doyle_v2.vtt,,False,False
doyle-quality-2022,"Quality Management: Plan, Implement, Track, Improve",58 min 42 sec,False,True,False,https://arup.utah.edu/education/doyle-quality-2022,,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/doyle-quality-2022_lecture-slides.pdf,,,False,False
elisascience,Elisa Science,1 hr 15 min,False,False,False,https://arup.utah.edu/education/elisascience,,,,,False,False
errorproof,Error Proofing the Laboratory,52 min 18 sec,True,True,True,https://arup.utah.edu/education/errorproof,https://arup.utah.edu/sites/default/files/Edu_Media/videos/errorProof_08-12-13tricore2.mp4,https://arup.utah.edu/sites/default/files/Edu_Media/pdfs/errorProof_ErrorProofingInTheLaboratory.pdf,https://arup.utah.edu/sites/default/files/Edu_Media/cc/errorProof_cc_0.vtt,,False,False
