canonical_tag,display_label,root_id,root_label,subcategory_label,provenance,study_query,dedupe_key,merged_alias_count,merged_alias_tags
BST::Bone::Reactive::Metabolic::Osteoporosis,Osteoporosis,bst,BST,Bone,abpath,Osteoporosis,bst::osteoporosis,0,
BST::Bone::Reactive::Metabolic::Paget_Disease,Paget_Disease,bst,BST,Bone,abpath,Paget Disease,bst::paget_disease,0,
BST::Bone::Reactive::Metabolic::Rickets_Osteomalacia,Rickets_Osteomalacia,bst,BST,Bone,abpath,Rickets Osteomalacia,bst::rickets_osteomalacia,0,
BST::Bone::Reactive::Structural::Fracture_Callus,Fracture_Callus,bst,BST,Bone,abpath,Fracture Callus,bst::fracture_callus,0,
BST::Bone::Reactive::Structural::Osteonecrosis_Avascular_Necrosis,Osteonecrosis_Avascular_Necrosis,bst,BST,Bone,abpath,Osteonecrosis Avascular Necrosis,bst::osteonecrosis_avascular_necrosis,0,
BST::Bone::Vascular::Benign::Hemangioma_Of_Bone,Hemangioma_Of_Bone,bst,BST,Bone,abpath,Hemangioma Of Bone,bst::hemangioma_of_bone,1,BST::Bone::Vascular::Hemangioma_of_Bone
BST::Bone::Vascular::Intermediate::Epithelioid_Hemangioma_Bone,Epithelioid_Hemangioma_Bone,bst,BST,Bone,abpath,Epithelioid Hemangioma Bone,bst::epithelioid_hemangioma_bone,0,
BST::Bone::Vascular::Malignant::Angiosarcoma_Of_Bone,Angiosarcoma_Of_Bone,bst,BST,Bone,abpath,Angiosarcoma Of Bone,bst::angiosarcoma_of_bone,1,BST::Bone::Vascular::Angiosarcoma_of_Bone
BST::Bone::Vascular::Malignant::Epithelioid_Hemangioendothelioma_Bone,Epithelioid_Hemangioendothelioma_Bone,bst,BST,Bone,abpath,Epithelioid Hemangioendothelioma Bone,bst::epithelioid_hemangioendothelioma_bone,0,
BST::Round_Cell_Sarcomas::CIC_Rearranged_Sarcoma,CIC_Rearranged_Sarcoma,bst,BST,Round_Cell_Sarcomas,who,CIC Rearranged Sarcoma,bst::cic_rearranged_sarcoma,0,
BST::Round_Cell_Sarcomas::Sarcoma_with_BCOR_Genetic_Alterations,Sarcoma_with_BCOR_Genetic_Alterations,bst,BST,Round_Cell_Sarcomas,who,Sarcoma with BCOR Genetic Alterations,bst::sarcoma_with_bcor_genetic_alterations,0,
BST::Soft_Tissue::Adipocytic::Benign::Angiolipoma,Angiolipoma,bst,BST,Soft_Tissue,abpath,Angiolipoma,bst::angiolipoma,1,BST::Soft_Tissue::Adipocytic::Angiolipoma
BST::Soft_Tissue::Adipocytic::Benign::Hibernoma,Hibernoma,bst,BST,Soft_Tissue,abpath,Hibernoma,bst::hibernoma,1,BST::Soft_Tissue::Adipocytic::Hibernoma
BST::Soft_Tissue::Adipocytic::Benign::Lipoblastoma_Lipoblastomatosis,Lipoblastoma_Lipoblastomatosis,bst,BST,Soft_Tissue,abpath,Lipoblastoma Lipoblastomatosis,bst::lipoblastoma_lipoblastomatosis,0,
BST::Soft_Tissue::Adipocytic::Benign::Lipoma_Chondroid,Lipoma_Chondroid,bst,BST,Soft_Tissue,abpath,Lipoma Chondroid,bst::lipoma_chondroid,0,
BST::Soft_Tissue::Adipocytic::Benign::Lipoma_Conventional,Lipoma_Conventional,bst,BST,Soft_Tissue,abpath,Lipoma Conventional,bst::lipoma_conventional,0,
BST::Soft_Tissue::Adipocytic::Benign::Lipoma_Intramuscular,Lipoma_Intramuscular,bst,BST,Soft_Tissue,abpath,Lipoma Intramuscular,bst::lipoma_intramuscular,0,
BST::Soft_Tissue::Adipocytic::Benign::Lipoma_Spindle_Cell_Pleomorphic,Lipoma_Spindle_Cell_Pleomorphic,bst,BST,Soft_Tissue,abpath,Lipoma Spindle Cell Pleomorphic,bst::lipoma_spindle_cell_pleomorphic,0,
BST::Soft_Tissue::Adipocytic::Benign::Lipomatosis_Diffuse,Lipomatosis_Diffuse,bst,BST,Soft_Tissue,abpath,Lipomatosis Diffuse,bst::lipomatosis_diffuse,0,
BST::Soft_Tissue::Adipocytic::Benign::Lipomatosis_Of_Nerve,Lipomatosis_Of_Nerve,bst,BST,Soft_Tissue,abpath,Lipomatosis Of Nerve,bst::lipomatosis_of_nerve,1,BST::Soft_Tissue::Adipocytic::Lipomatosis_of_Nerve
BST::Soft_Tissue::Adipocytic::Benign::Myelolipoma,Myelolipoma,bst,BST,Soft_Tissue,abpath,Myelolipoma,bst::myelolipoma,0,
